,name,price,adress,image_link
192,Lapin,Prixsurdemande,"Niaga, Sénégal",https://images.coinafrique.com/thumb_4337664_uploaded_image2_1692903389.jpeg
193,Lapins,Prixsurdemande,"Niaga, Sénégal",https://images.coinafrique.com/thumb_4336471_uploaded_image1_1692120444.jpg
194,Lapereaux ,10000,"Niaga, Sénégal",https://images.coinafrique.com/thumb_4333705_uploaded_image1_1691943760.jpg
195,Lapereaux,Prixsurdemande,"Niaga, Sénégal",https://images.coinafrique.com/thumb_4324644_uploaded_image1_1691345949.jpg
196,Poussins de chair,Prixsurdemande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4323837_uploaded_image1_1691274033.jpg
197,Lapin,40000,"Niaga, Sénégal",https://images.coinafrique.com/thumb_4312499_uploaded_image1_1690566200.jpg
198,Poules,Prixsurdemande,"Thies, Sénégal",https://images.coinafrique.com/thumb_4302571_uploaded_image1_1689893299.jpg
199,Lapin,Prixsurdemande,"Niaga, Sénégal",https://images.coinafrique.com/thumb_4302356_uploaded_image1_1689878968.jpg
200,Lapin,15000,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_4298076_uploaded_image1_1689619080.jpg
201,Lapin,80000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4296184_uploaded_image1_1689472721.jpg
202,Poussins Brahmanes ,30000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4290482_uploaded_image1_1689101216.jpg
